,num_variables,activation_function,absorption_criterion,ascent_stop_criterion,stopping_criterion_type,step_type,max_iterations,direction_type,initial_ascent_type,gamma,theta,f_value,binary,t_hmip,t_cplex,f_cplex,t_cplex_relax,f_cplex_relax
94,4,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,1.4128886422772733,0.20310617046904916,0.04728644201532006,0.015089196036569774,-1.2774326543013725,0.037351423990912735,-1.2774326469002104
95,4,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-1.283401312608265,0.2965984048260239,0.04741593892686069,0.025217856047675014,-1.2891730792076324,0.034756890963763,-1.2891730792076324
96,4,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,5.518808966058804,0.03360855286771636,0.048684069071896374,0.014257812988944352,-1.8331190947539597,0.03871414402965456,-1.8331190870968153
97,4,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-2.9858155309563434,0.2257855227700443,0.04855331708677113,0.015729445032775402,-3.5345613275797545,0.04091393994167447,-3.5345613209410036
98,4,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,1.9916901711467738,0.032818122082057914,0.04423345299437642,0.014816728886216879,0.0,0.03993539803195745,9.925736354393669e-10
99,4,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-0.15228090179117193,0.47656526427561496,0.049357954994775355,0.04996794799808413,-0.7135870119289993,0.027614651946350932,-0.7135870096779324
100,10,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,1.1358642721735113,0.2553725309175706,0.0450740399537608,0.015974525944329798,-4.390218862622642,0.04358750907704234,-4.390218846204957
101,10,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-1.8331096191926273,0.23306971719907485,0.04946911707520485,0.030289084068499506,-8.356734874395949,0.029698673053644598,-8.356734859050354
102,10,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,3.8805230497932084,0.4515167809851012,0.050440977909602225,0.015938688069581985,-6.653730654221977,0.036593322991393507,-6.689006350557069
103,10,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,4.193877667113752,0.18488617126302948,0.04977311193943024,0.014895793050527573,-1.7334478320155038,0.03867139003705233,-1.733447828554395
104,10,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,9.791041549258916,0.09079550450396454,0.05134222796186805,0.015303945983760059,0.0,0.03627609193790704,3.1251444914165987e-09
105,10,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,-2.176957374414358,0.3209473969100605,0.04906447697430849,0.033376357052475214,-10.327940194780242,0.029983797925524414,-10.327940186404714
106,10,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,9.217834436880256,0.10877782079631103,0.04944656102452427,0.015222853049635887,-3.2847743566625747,0.03749653906561434,-3.284774354523919
107,10,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,2.798757400799256,0.2624834535483418,0.049480580957606435,0.020694752922281623,-5.645987260616856,0.03608367603737861,-5.645987256136967
108,10,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,8.777820233603794,0.4704389747816271,0.05201649200171232,0.015432410989888012,-2.6187896375756305,0.03767647105269134,-2.6187896319443427
109,10,tanh,,0.01,gradient,classic,500,classic,binary_neutral_ascent,0.9,0.01,0.5116232330588999,0.6757425652651088,0.04887942399363965,0.02848579501733184,-4.490866709728692,0.03134178894106299,-4.490866695183782
